Size,Time(ms),Iterations
100,1,2067
200,2,7430
300,2,12183
400,3,19352
500,4,29327
600,2,34855
700,2,46796
800,1,53477
900,2,64797
1000,1,78402
1100,2,92309
1200,1,100702
1300,1,119208
1400,2,138916
1500,2,144928
1600,1,165746
1700,2,187096
1800,2,184009
1900,1,193008
2000,2,229830
2100,3,244865
2200,3,268169
2300,3,272071
2400,2,294754
2500,2,304529
2600,4,334393
2700,3,353035
2800,3,364484
2900,3,403229
3000,7,403075
3100,4,458559
3200,3,452947
3300,3,511274
3400,3,512497
3500,3,533456
3600,3,566635
3700,4,591856
3800,3,599188
3900,4,644232
4000,4,666584
4100,3,668906
4200,3,746642
4300,3,773744
4400,4,758566
4500,3,767382
4600,3,816573
4700,5,864067
4800,3,856281
4900,4,909365
5000,3,865061
5100,4,969795
5200,5,1027512
5300,4,1022232
5400,4,1027650
5500,5,1081862
5600,9,1094419
5700,7,1146786
5800,6,1153624
5900,7,1240749
6000,5,1255917
6100,5,1258306
6200,5,1272407
6300,3,1315560
6400,5,1423639
6500,4,1404120
6600,4,1392086
6700,5,1477349
6800,4,1467780
6900,5,1501554
7000,5,1510351
7100,6,1595218
7200,7,1604481
7300,6,1630513
7400,6,1745114
7500,6,1676826
7600,5,1747827
7700,5,1811001
7800,6,1801517
7900,8,1817827
8000,7,1913620
8100,6,1960153
8200,6,2013237
8300,6,1992933
8400,5,2013424
8500,6,2041080
8600,11,2116468
8700,6,2192476
8800,7,2231108
8900,9,2296034
9000,8,2334386
9100,6,2234339
9200,7,2452878
9300,8,2395432
9400,7,2408021
9500,9,2515474
9600,7,2545061
9700,9,2535609
9800,8,2567238
9900,9,2633353
10000,10,2667328
